n,b,total_time,transmit_time,init_time
40000,16,0.018478,0.018410,0.000068
40000,16,0.016765,0.016711,0.000054
40000,16,0.025585,0.025557,0.000028
40000,16,0.024406,0.024381,0.000025
40000,16,0.025227,0.025208,0.000019
40000,16,0.025365,0.025347,0.000018
40000,16,0.025058,0.025040,0.000018
40000,16,0.021822,0.021767,0.000055
40000,16,0.017191,0.017122,0.000069
40000,16,0.025461,0.025430,0.000031
40000,16,0.024168,0.024145,0.000023
40000,16,0.024908,0.024888,0.000020
40000,16,0.025433,0.025400,0.000033
40000,16,0.024867,0.024823,0.000044
40000,16,0.016766,0.016714,0.000052
40000,16,0.022586,0.022562,0.000024
40000,16,0.022648,0.022620,0.000028
40000,16,0.022686,0.022658,0.000028
40000,16,0.022632,0.022608,0.000024
40000,16,0.022868,0.022849,0.000019
40000,16,0.025238,0.025214,0.000024
40000,16,0.017265,0.017218,0.000047
40000,16,0.025280,0.025252,0.000028
40000,16,0.026123,0.025050,0.001073
40000,16,0.023525,0.023489,0.000036
40000,16,0.017950,0.017893,0.000057
40000,16,0.024234,0.024192,0.000042
40000,16,0.025105,0.025075,0.000030
40000,16,0.025290,0.025271,0.000019
40000,16,0.022406,0.022382,0.000024
40000,16,0.022485,0.022464,0.000021
40000,16,0.022613,0.022593,0.000020
40000,16,0.022611,0.022590,0.000021
40000,16,0.022820,0.022792,0.000028
40000,16,0.022299,0.022270,0.000029
40000,16,0.022447,0.022427,0.000020
40000,16,0.022267,0.022245,0.000022
40000,16,0.022702,0.022680,0.000022
40000,16,0.022420,0.022401,0.000019
40000,16,0.025178,0.025158,0.000020
40000,16,0.025182,0.025162,0.000020
80000,16,0.048907,0.048415,0.000492
80000,16,0.045824,0.045785,0.000039
80000,16,0.050248,0.049854,0.000394
80000,16,0.045047,0.045024,0.000023
80000,16,0.056686,0.056656,0.000030
80000,16,0.050243,0.050208,0.000035
80000,16,0.045835,0.045806,0.000029
80000,16,0.049134,0.049095,0.000039
80000,16,0.048466,0.048427,0.000039
80000,16,0.050013,0.049976,0.000037
80000,16,0.050753,0.050725,0.000028
80000,16,0.050541,0.050517,0.000024
80000,16,0.043677,0.043621,0.000056
80000,16,0.044635,0.044601,0.000034
80000,16,0.046073,0.046050,0.000023
80000,16,0.045110,0.045081,0.000029
80000,16,0.045650,0.045621,0.000029
80000,16,0.050015,0.049988,0.000027
80000,16,0.057897,0.057863,0.000034
80000,16,0.033909,0.033862,0.000047
80000,16,0.049836,0.049808,0.000028
80000,16,0.053461,0.053426,0.000035
80000,16,0.033990,0.033929,0.000061
80000,16,0.045139,0.044528,0.000611
80000,16,0.049341,0.049277,0.000064
80000,16,0.046272,0.046236,0.000036
80000,16,0.045117,0.045083,0.000034
80000,16,0.045113,0.045091,0.000022
80000,16,0.046578,0.046518,0.000060
80000,16,0.058364,0.058320,0.000044
80000,16,0.044252,0.044188,0.000064
80000,16,0.051980,0.051924,0.000056
80000,16,0.049006,0.048969,0.000037
80000,16,0.050160,0.050122,0.000038
80000,16,0.045251,0.045188,0.000063
80000,16,0.050226,0.050187,0.000039
80000,16,0.073494,0.073365,0.000129
80000,16,0.047231,0.047165,0.000066
80000,16,0.037518,0.037443,0.000075
80000,16,0.047580,0.047536,0.000044
80000,16,0.033742,0.033684,0.000058
