n,b,total_time,transmit_time,init_time
40000,16,0.031770,0.031703,0.000067
40000,16,0.029352,0.029300,0.000052
40000,16,0.023931,0.023885,0.000046
40000,16,0.023653,0.023609,0.000044
40000,16,0.035148,0.035111,0.000037
40000,16,0.032804,0.032751,0.000053
40000,16,0.023823,0.023770,0.000053
40000,16,0.032518,0.032478,0.000040
40000,16,0.032005,0.031954,0.000051
40000,16,0.031912,0.031861,0.000051
40000,16,0.023879,0.023827,0.000052
40000,16,0.032384,0.032328,0.000056
40000,16,0.029319,0.029268,0.000051
40000,16,0.032017,0.031950,0.000067
40000,16,0.023912,0.023845,0.000067
40000,16,0.024995,0.024921,0.000074
40000,16,0.034991,0.034946,0.000045
40000,16,0.024064,0.024002,0.000062
40000,16,0.032133,0.032068,0.000065
40000,16,0.032657,0.032603,0.000054
40000,16,0.035024,0.034960,0.000064
40000,16,0.023847,0.023782,0.000065
40000,16,0.032559,0.032494,0.000065
40000,16,0.033213,0.033156,0.000057
40000,16,0.025370,0.025303,0.000067
40000,16,0.032668,0.032599,0.000069
40000,16,0.023923,0.023865,0.000058
40000,16,0.023681,0.023639,0.000042
40000,16,0.023821,0.023781,0.000040
40000,16,0.029594,0.029549,0.000045
40000,16,0.025725,0.025672,0.000053
40000,16,0.025120,0.025076,0.000044
40000,16,0.023998,0.023940,0.000058
40000,16,0.023544,0.023496,0.000048
40000,16,0.023968,0.023915,0.000053
40000,16,0.023844,0.023798,0.000046
40000,16,0.023837,0.023796,0.000041
40000,16,0.024010,0.023956,0.000054
40000,16,0.032962,0.032903,0.000059
40000,16,0.031876,0.031809,0.000067
40000,16,0.024117,0.024061,0.000056
80000,16,0.047350,0.047290,0.000060
80000,16,0.047159,0.047103,0.000056
80000,16,0.046879,0.046825,0.000054
80000,16,0.063684,0.063640,0.000044
80000,16,0.048782,0.048726,0.000056
80000,16,0.058750,0.058687,0.000063
80000,16,0.048977,0.048917,0.000060
80000,16,0.047769,0.047704,0.000065
80000,16,0.059056,0.058994,0.000062
80000,16,0.049305,0.049241,0.000064
80000,16,0.058068,0.058002,0.000066
80000,16,0.048500,0.048435,0.000065
80000,16,0.047223,0.047162,0.000061
80000,16,0.047677,0.047625,0.000052
80000,16,0.047930,0.047876,0.000054
80000,16,0.047738,0.047685,0.000053
80000,16,0.047897,0.047843,0.000054
80000,16,0.047710,0.047655,0.000055
80000,16,0.047478,0.047425,0.000053
80000,16,0.048472,0.048416,0.000056
80000,16,0.047819,0.047759,0.000060
80000,16,0.047231,0.047177,0.000054
80000,16,0.047652,0.047585,0.000067
80000,16,0.061029,0.060963,0.000066
80000,16,0.053845,0.053790,0.000055
80000,16,0.049678,0.049601,0.000077
80000,16,0.049631,0.049570,0.000061
80000,16,0.057085,0.057022,0.000063
80000,16,0.061300,0.061232,0.000068
80000,16,0.063489,0.063421,0.000068
80000,16,0.064979,0.064928,0.000051
80000,16,0.048456,0.048384,0.000072
80000,16,0.047179,0.047134,0.000045
80000,16,0.047427,0.047368,0.000059
80000,16,0.047545,0.047491,0.000054
80000,16,0.066189,0.066133,0.000056
80000,16,0.047470,0.047405,0.000065
80000,16,0.059454,0.059399,0.000055
80000,16,0.048852,0.048793,0.000059
80000,16,0.047547,0.047498,0.000049
80000,16,0.047342,0.047286,0.000056
80000,16,0.063579,0.063526,0.000053
80000,16,0.048752,0.048700,0.000052
80000,16,0.058258,0.058200,0.000058
80000,16,0.048626,0.048551,0.000075
80000,16,0.049536,0.049468,0.000068
80000,16,0.060820,0.060751,0.000069
80000,16,0.057218,0.057155,0.000063
80000,16,0.052765,0.052702,0.000063
80000,16,0.064387,0.064323,0.000064
80000,16,0.048501,0.048424,0.000077
80000,16,0.055966,0.055909,0.000057
80000,16,0.063784,0.063727,0.000057
80000,16,0.064231,0.064175,0.000056
80000,16,0.064515,0.064464,0.000051
80000,16,0.063294,0.063236,0.000058
80000,16,0.048441,0.048380,0.000061
80000,16,0.047791,0.047731,0.000060
80000,16,0.048154,0.048086,0.000068
80000,16,0.052317,0.052259,0.000058
80000,16,0.062157,0.062111,0.000046
80000,16,0.059466,0.059411,0.000055
80000,16,0.048494,0.048425,0.000069
80000,16,0.047543,0.047485,0.000058
80000,16,0.048966,0.048920,0.000046
80000,16,0.051317,0.051252,0.000065
80000,16,0.058858,0.058809,0.000049
80000,16,0.050719,0.050649,0.000070
80000,16,0.048392,0.048328,0.000064
80000,16,0.047539,0.047489,0.000050
80000,16,0.061603,0.061546,0.000057
80000,16,0.050903,0.050848,0.000055
80000,16,0.062345,0.062279,0.000066
80000,16,0.063579,0.063523,0.000056
80000,16,0.063461,0.063404,0.000057
80000,16,0.047727,0.047670,0.000057
80000,16,0.047342,0.047284,0.000058
80000,16,0.064809,0.064737,0.000072
80000,16,0.048561,0.048493,0.000068
80000,16,0.053394,0.053344,0.000050
80000,16,0.063553,0.063487,0.000066
80000,16,0.049391,0.049329,0.000062
80000,16,0.049528,0.049476,0.000052
80000,16,0.047437,0.047375,0.000062
80000,16,0.058662,0.058612,0.000050
80000,16,0.070123,0.070061,0.000062
80000,16,0.047603,0.047532,0.000071
80000,16,0.063723,0.063666,0.000057
80000,16,0.047863,0.047809,0.000054
80000,16,0.055104,0.055037,0.000067
80000,16,0.053762,0.053704,0.000058
80000,16,0.047345,0.047286,0.000059
80000,16,0.052663,0.052618,0.000045
80000,16,0.052166,0.052122,0.000044
80000,16,0.047336,0.047278,0.000058
80000,16,0.063296,0.063242,0.000054
80000,16,0.063054,0.062998,0.000056
80000,16,0.064896,0.064844,0.000052
80000,16,0.048388,0.048313,0.000075
80000,16,0.058856,0.058800,0.000056
160000,16,0.098177,0.098116,0.000061
160000,16,0.122488,0.122421,0.000067
160000,16,0.121491,0.121421,0.000070
160000,16,0.096239,0.096181,0.000058
160000,16,0.093543,0.093493,0.000050
160000,16,0.094554,0.094507,0.000047
160000,16,0.096939,0.096868,0.000071
160000,16,0.123509,0.123455,0.000054
160000,16,0.114732,0.114679,0.000053
160000,16,0.124410,0.124338,0.000072
160000,16,0.098976,0.098905,0.000071
160000,16,0.108079,0.108015,0.000064
160000,16,0.099069,0.099003,0.000066
160000,16,0.098941,0.098879,0.000062
160000,16,0.094581,0.094530,0.000051
160000,16,0.094214,0.094166,0.000048
160000,16,0.094002,0.093953,0.000049
160000,16,0.094781,0.094725,0.000056
160000,16,0.102843,0.102776,0.000067
160000,16,0.098426,0.098355,0.000071
160000,16,0.095386,0.095324,0.000062
160000,16,0.108104,0.108045,0.000059
160000,16,0.098718,0.098653,0.000065
160000,16,0.103785,0.103728,0.000057
160000,16,0.095184,0.095113,0.000071
160000,16,0.124760,0.124691,0.000069
160000,16,0.096885,0.096823,0.000062
160000,16,0.127246,0.127186,0.000060
160000,16,0.096358,0.096287,0.000071
160000,16,0.098548,0.098475,0.000073
160000,16,0.099016,0.098945,0.000071
160000,16,0.098259,0.098190,0.000069
